Item No,Product,Qty,Unit Price (Rs),Subtotal (Rs)
1,100k Multiturn Potentiometer Trimmer 3296W THT,1,40.00,40.00
2,SPDT Toggle Switch 3-Pin 125VAC 6A (ON-OFF-ON),4,60.00,240.00
3,LM339N Analog Comparator,4,30.00,120.00
4,74LS147 10-Line to 4-Line Priority Encoder (74HC147) PDIP-16,2,70.00,140.00
5,74LS86 Quad 2-input Exclusive OR Gate (74HC86) DIP-14,2,50.00,100.00
6,74LS74 Dual Positive Edge-triggered D Flip-flop (74HC74) DIP-14,5,30.00,150.00
7,74LS08 AND Gate 4-channel 2-inputs (74HC08) PDIP-14,2,30.00,60.00
8,74LS32 OR Gate 4-channel (74HC32) PDIP-14,2,30.00,60.00
9,74LS595 8-bit Shift Register (74HC595) PDIP-16,5,30.00,150.00
10,1-Digit 7-Segment Red Colour 0.56 inch Common Cathode,4,30.00,120.00
11,10k Multiturn Potentiometer Trimmer 3296W THT,3,30.00,90.00
12,CD4017 Decade Counter Divider,4,30.00,120.00
13,1000uF 16V Electrolytic Capacitor THT,4,10.00,40.00
14,40-pin Single row female headers 2.54mm,3,30.00,90.00
15,40-pin Single row male headers 2.54mm,3,15.00,45.00
16,Long 40-pin Single row male headers 2.54mm,2,30.00,60.00
17,Vero Board Dot 18x15cm,2,220.00,440.00
18,Prototype PCB Board Dual Layer FR4 40x60mm (High Quality) Vero Dot,4,100.00,400.00
19,8-pin Normal IC Base 2.54mm,5,5.00,25.00
20,14-pin Normal IC Base 2.54mm,12,6.00,72.00
21,16-pin Normal IC Base 2.54mm,18,10.00,180.00
